|Token      |Class          |Type             |Definition                                                          |
|-----------|---------------|-----------------|--------------------------------------------------------------------|
|VERSION    |Action         |Single           |Fetches the current installed version of OstrichDB                  |
|HELP       |Action         |Single or Multi  |Displays helpful information about OstrichDB                        |
|EXIT       |Action         |Single           |Safely exits OstrichDB                                              |
|LOGOUT     |Action         |Single           |Logs out the current user WITHOUT closing OstrichDB                 |
|TREE       |Action         |Single           |Displays a hierarchical tree of all collections and thier clusters  |
|HISTORY    |Action         |Single           |Displays the history of all actions performed in the current session|
|NEW        |Action         |Multi            |Creates a new collection, cluster, or record                        |
|ERASE      |Action         |Multi            |Deletes a collection, cluster, or record                            |
|RENAME     |Action         |Multi            |Renames a collection, cluster, or record                            |
|SET        |Action         |Multi            |Sets the value of a record ot config                                |
|BACKUP     |Action         |Multi            |Creates a backup of a collection                                    |
|FETCH      |Action         |Multi            |Fetches all data of the specified collection, cluster, or record    |
|FOCUS      |Action         |Multi            |Sets the current context to the specified collection, cluster, or record|
|UNFOCUS    |Action         |Single           |Unsets the current context if any                                   |
|CLEAR      |Action         |Single           |Clears the screen of clutter                                        |
|COLLECTION |Target         |                 |Specifies that the target is a collection                           |
|CLUSTER    |Target         |                 |Specifies that the target is a cluster                              |
|RECORD     |Target         |                 |Specifies that the target is a record                               |
|TO         |Modifier       |                 |Used with the RENAME action to specify the new name of the target   |
|ATOM/ATOMS |Help Target    |                 |Only Used with the HELP action to show information about atoms|
